id,date,user_id,initial_count,created_at
2,2025-06-28,4,50,2025-06-27 19:41:39.416008+00:00
3,2025-06-28,1,0,2025-06-27 19:41:39.517325+00:00
4,2025-06-28,5,0,2025-06-27 19:41:39.620486+00:00
5,2025-06-28,6,117,2025-06-27 19:41:39.730017+00:00
6,2025-06-28,3,0,2025-06-27 19:41:39.832905+00:00
7,2025-06-28,2,0,2025-06-27 19:41:39.935995+00:00
8,2025-06-28,7,0,2025-06-27 19:41:40.039395+00:00
9,2025-06-28,8,1,2025-06-27 19:41:40.141971+00:00
10,2025-06-29,6,53,2025-06-29 07:07:26.872665+00:00
11,2025-06-30,4,83,2025-06-29 19:03:52.293150+00:00
12,2025-06-30,1,0,2025-06-29 19:03:52.293169+00:00
13,2025-06-30,5,0,2025-06-29 19:03:52.293174+00:00
14,2025-06-30,6,100,2025-06-29 19:03:52.293179+00:00
15,2025-06-30,3,0,2025-06-29 19:03:52.293185+00:00
16,2025-06-30,2,0,2025-06-29 19:03:52.293189+00:00
17,2025-06-30,7,0,2025-06-29 19:03:52.293193+00:00
18,2025-06-30,8,0,2025-06-29 19:03:52.293198+00:00
19,2025-06-29,4,24,2025-06-29 19:03:57.769956+00:00
20,2025-06-29,1,1,2025-06-29 19:03:57.769971+00:00
21,2025-06-29,5,0,2025-06-29 19:03:57.769976+00:00
22,2025-06-29,3,0,2025-06-29 19:03:57.769980+00:00
23,2025-06-29,2,0,2025-06-29 19:03:57.769984+00:00
24,2025-06-29,7,0,2025-06-29 19:03:57.769988+00:00
25,2025-06-29,8,0,2025-06-29 19:03:57.769992+00:00
27,2025-07-01,1,0,2025-06-30 18:37:26.454047+00:00
28,2025-07-01,5,0,2025-06-30 18:37:26.454055+00:00
30,2025-07-01,3,0,2025-06-30 18:37:26.454071+00:00
31,2025-07-01,2,0,2025-06-30 18:37:26.454078+00:00
32,2025-07-01,7,0,2025-06-30 18:37:26.454085+00:00
33,2025-07-01,8,0,2025-06-30 18:37:26.454102+00:00
35,2025-06-30,9,0,2025-07-01 07:36:22.024047+00:00
36,2025-07-30,4,0,2025-07-01 07:37:14.361960+00:00
37,2025-07-30,1,0,2025-07-01 07:37:14.361979+00:00
38,2025-07-30,5,0,2025-07-01 07:37:14.361986+00:00
39,2025-07-30,6,2,2025-07-01 07:37:14.361991+00:00
40,2025-07-30,3,0,2025-07-01 07:37:14.361995+00:00
41,2025-07-30,2,0,2025-07-01 07:37:14.361999+00:00
42,2025-07-30,7,0,2025-07-01 07:37:14.362004+00:00
43,2025-07-30,8,0,2025-07-01 07:37:14.362008+00:00
44,2025-07-30,9,116,2025-07-01 07:37:14.362012+00:00
45,2025-07-02,9,118,2025-07-01 08:23:09.018297+00:00
26,2025-07-01,4,34,2025-06-30 18:37:26.453993+00:00
29,2025-07-01,6,24,2025-06-30 18:37:26.454062+00:00
34,2025-07-01,9,68,2025-07-01 06:38:22.433542+00:00
46,2025-07-02,4,99,2025-07-02 05:13:00.123487+00:00
47,2025-07-03,9,128,2025-07-02 05:22:55.498341+00:00
48,2025-07-04,9,123,2025-07-02 06:51:54.221518+00:00
49,2025-07-02,1,0,2025-07-02 07:11:53.155977+00:00
50,2025-07-02,5,0,2025-07-02 07:11:53.155996+00:00
51,2025-07-02,6,96,2025-07-02 07:11:53.156001+00:00
52,2025-07-02,3,0,2025-07-02 07:11:53.156005+00:00
53,2025-07-02,2,0,2025-07-02 07:11:53.156011+00:00
54,2025-07-02,7,0,2025-07-02 07:11:53.156016+00:00
55,2025-07-02,8,0,2025-07-02 07:11:53.156020+00:00
57,2025-07-13,9,128,2025-07-02 09:35:37.427311+00:00
58,2025-07-05,9,128,2025-07-02 09:35:49.879027+00:00
59,2025-07-07,9,123,2025-07-02 10:37:21.027977+00:00
60,2025-07-08,9,122,2025-07-02 10:37:24.630794+00:00
61,2025-07-09,9,120,2025-07-02 10:37:28.230763+00:00
62,2025-07-10,9,123,2025-07-02 10:37:31.638765+00:00
63,2025-07-20,9,118,2025-07-02 10:37:36.738202+00:00
64,2025-06-05,9,0,2025-07-02 14:37:26.741081+00:00
65,2025-10-21,9,1,2025-07-02 14:37:35.759691+00:00
66,2025-08-08,9,2,2025-07-02 14:37:46.822252+00:00
67,2025-07-24,9,119,2025-07-02 14:37:51.377607+00:00
68,2025-07-31,9,3,2025-07-02 14:37:56.112480+00:00
69,2025-07-17,9,123,2025-07-03 09:54:53.221376+00:00
70,2025-07-29,9,133,2025-07-03 09:54:59.450143+00:00
71,2025-07-28,9,122,2025-07-03 09:55:16.512380+00:00
72,2025-07-03,4,83,2025-07-03 12:03:41.297254+00:00
73,2025-07-03,1,0,2025-07-03 12:03:41.297272+00:00
74,2025-07-03,5,0,2025-07-03 12:03:41.297277+00:00
75,2025-07-03,6,82,2025-07-03 12:03:41.297281+00:00
76,2025-07-03,3,0,2025-07-03 12:03:41.297288+00:00
77,2025-07-03,2,0,2025-07-03 12:03:41.297293+00:00
78,2025-07-03,7,0,2025-07-03 12:03:41.297297+00:00
79,2025-07-03,8,0,2025-07-03 12:03:41.297302+00:00
80,2025-07-04,4,100,2025-07-03 12:03:46.561225+00:00
81,2025-07-04,1,0,2025-07-03 12:03:46.561244+00:00
82,2025-07-04,5,0,2025-07-03 12:03:46.561248+00:00
83,2025-07-04,6,89,2025-07-03 12:03:46.561252+00:00
84,2025-07-04,3,0,2025-07-03 12:03:46.561256+00:00
85,2025-07-04,2,0,2025-07-03 12:03:46.561260+00:00
86,2025-07-04,7,0,2025-07-03 12:03:46.561264+00:00
87,2025-07-04,8,0,2025-07-03 12:03:46.561267+00:00
88,2025-11-22,9,0,2025-07-04 10:11:25.215276+00:00
89,2026-01-22,9,1,2025-07-04 10:11:31.673815+00:00
90,2026-01-20,9,0,2025-07-04 10:12:38.448469+00:00
91,2025-11-20,9,4,2025-07-04 10:12:42.020595+00:00
92,2025-12-31,9,2,2025-07-04 10:12:57.069870+00:00
93,2025-07-05,4,86,2025-07-04 10:59:36.261065+00:00
94,2025-07-05,1,0,2025-07-04 10:59:36.261079+00:00
95,2025-07-05,5,0,2025-07-04 10:59:36.261084+00:00
96,2025-07-05,6,70,2025-07-04 10:59:36.261088+00:00
97,2025-07-05,3,0,2025-07-04 10:59:36.261094+00:00
98,2025-07-05,2,0,2025-07-04 10:59:36.261099+00:00
99,2025-07-05,7,0,2025-07-04 10:59:36.261103+00:00
100,2025-07-05,8,0,2025-07-04 10:59:36.261108+00:00
103,2025-07-06,5,3,2025-07-05 22:01:45.760811+00:00
105,2025-07-06,3,0,2025-07-05 22:01:45.760827+00:00
106,2025-07-06,2,1,2025-07-05 22:01:45.760832+00:00
107,2025-07-06,7,0,2025-07-05 22:01:45.760836+00:00
108,2025-07-06,8,0,2025-07-05 22:01:45.760841+00:00
109,2025-08-10,9,0,2025-07-06 05:23:54.265159+00:00
110,2025-07-27,9,119,2025-07-06 07:20:36.435236+00:00
111,2025-07-26,9,118,2025-07-06 07:20:38.814593+00:00
112,2025-07-25,9,128,2025-07-06 07:20:41.054660+00:00
113,2025-07-23,9,123,2025-07-06 07:20:44.874659+00:00
114,2025-07-22,9,123,2025-07-06 07:20:47.829757+00:00
115,2025-07-21,9,124,2025-07-06 07:20:49.655257+00:00
116,2025-07-19,9,121,2025-07-06 07:20:54.054474+00:00
117,2025-08-01,9,1,2025-07-06 07:21:02.377130+00:00
118,2025-08-15,9,1,2025-07-06 09:07:36.550189+00:00
119,2025-08-21,9,1,2025-07-06 09:07:41.999414+00:00
120,2025-08-14,9,2,2025-07-06 09:07:45.908268+00:00
121,2025-08-23,9,0,2025-07-06 09:07:50.935650+00:00
122,2025-08-22,9,5,2025-07-06 09:07:55.153730+00:00
123,2025-08-13,9,6,2025-07-06 09:08:02.599383+00:00
101,2025-07-06,4,83,2025-07-05 22:01:45.760779+00:00
102,2025-07-06,1,1,2025-07-05 22:01:45.760805+00:00
104,2025-07-06,6,53,2025-07-05 22:01:45.760819+00:00
56,2025-07-06,9,95,2025-07-02 08:04:51.766573+00:00
